18 19  1 1262583526
18 19  1 1262583575
20 3  1 1262585289
20 21  1 1262585429
20 22  1 1262585488
20 23  1 1262585516
24 25  1 1262586908
26 27  1 1262586943
28 29  1 1262587000
1 7  1 1262587114
29 30  1 1262587333
29 28  1 1262587438
11 31  1 1262587685
11 32  1 1262587685
11 25  1 1262587685
11 33  1 1262587685
31 11  1 1262587713
33 11  1 1262587750
1 7  1 1262587999
34 21  1 1262588054
35 3  1 1262588115
36 37  1 1262588121
36 37  1 1262588121
25 11  1 1262588321
25 24  1 1262588340
23 21  1 1262588413
36 38  1 1262588508
39 21  1 1262588513
13 3  1 1262588553
13 40  1 1262588553
13 8  1 1262588553
13 35  1 1262588553
13 41  1 1262588553
13 4  1 1262588553
42 43  1 1262588676
42 43  1 1262588678
42 43  1 1262588686
42 43  1 1262588688
42 44  1 1262588796
26 45  1 1262588892
46 21  1 1262588989
42 3  1 1262589053
16 1  1 1262589108
16 1  1 1262589145
47 48  1 1262589167
16 8  1 1262589178
47 48  1 1262589200
16 8  1 1262589210
49 42  1 1262589248
26 21  1 1262589265
49 21  1 1262589270
26 32  1 1262589278
29 22  1 1262589288
3 8  1 1262589314
3 13  1 1262589314
3 50  1 1262589314
3 35  1 1262589314
3 51  1 1262589314
3 52  1 1262589314
3 18  1 1262589314
3 53  1 1262589314
3 20  1 1262589314
50 3  1 1262589380
46 1  1 1262589421
54 17  1 1262589427
54 17  1 1262589427
3 50  1 1262589431
1 46  1 1262589489
55 56  1 1262589505
55 50  1 1262589564
8 3  1 1262589631
13 3  1 1262589677
27 42  1 1262589703
19 57  1 1262589730
42 27  1 1262589743
19 58  1 1262589780
19 50  1 1262589788
55 23  1 1262589827
19 21  1 1262589922
19 23  1 1262589922
59 2  1 1262589958
34 24  1 1262589962
39 27  1 1262589971
55 21  1 1262589986
24 34  1 1262590008
55 42  1 1262590037
35 3  1 1262590054
60 23  1 1262590477
59 2  1 1262590600
13 3  1 1262590666
18 3  1 1262590743
61 33  1 1262590820
61 23  1 1262590849
62 42  1 1262590932
62 63  1 1262590932
62 64  1 1262590932
13 3  1 1262590954
13 35  1 1262590954
13 4  1 1262590954
65 50  1 1262590990
65 23  1 1262591156
58 21  1 1262591326
3 66  1 1262591337
3 67  1 1262591337
3 8  1 1262591337
3 35  1 1262591337
3 68  1 1262591337
3 69  1 1262591337
3 17  1 1262591337
70 21  1 1262591410
25 24  1 1262591577
10 7  1 1262591631
5 71  1 1262591636
5 72  1 1262591636
5 73  1 1262591636
5 74  1 1262591636
5 11  1 1262591636
32 11  1 1262591640
10 21  1 1262591642
24 25  1 1262591667
4 13  1 1262591801
4 3  1 1262591801
51 3  1 1262591802
66 27  1 1262591812
15 27  1 1262591896
7 10  1 1262592085
7 1  1 1262592183
50 75  1 1262592242
13 15  1 1262592247
13 40  1 1262592247
75 50  1 1262592300
75 50  1 1262592319
62 15  1 1262592390
62 3  1 1262592390
62 20  1 1262592390
62 8  1 1262592390
62 33  1 1262592390
62 35  1 1262592390
11 5  1 1262592405
66 3  1 1262592447
62 3  1 1262592461
62 15  1 1262592461
62 20  1 1262592461
62 8  1 1262592461
62 33  1 1262592461
62 35  1 1262592461
15 62  1 1262592465
15 62  1 1262592465
62 3  1 1262592483
62 15  1 1262592483
62 20  1 1262592483
62 8  1 1262592483
62 33  1 1262592483
62 35  1 1262592483
15 62  1 1262592491
8 62  1 1262592517
8 62  1 1262592517
8 62  1 1262592519
62 3  1 1262592533
62 15  1 1262592533
62 20  1 1262592533
62 8  1 1262592533
62 33  1 1262592533
62 35  1 1262592533
3 62  1 1262592576
3 62  1 1262592577
35 62  1 1262592577
35 62  1 1262592578
62 3  1 1262592581
62 20  1 1262592581
62 8  1 1262592581
62 33  1 1262592581
62 35  1 1262592581
62 15  1 1262592581
15 62  1 1262592589
8 62  1 1262592606
35 62  1 1262592638
3 62  1 1262592664
35 62  1 1262592698
3 62  1 1262592745
4 16  1 1262592750
15 61  1 1262592919
15 12  1 1262592919
30 32  1 1262592963
1 46  1 1262592991
15 62  1 1262593021
76 19  1 1262593204
3 62  1 1262593254
61 15  1 1262593274
6 7  1 1262593291
6 1  1 1262593291
6 7  1 1262593324
6 1  1 1262593324
74 5  1 1262593332
67 3  1 1262593465
77 27  1 1262593536
78 23  1 1262593743
27 77  1 1262593803
79 43  1 1262593865
79 43  1 1262593869
68 48  1 1262593875
79 43  1 1262593889
79 43  1 1262593892
79 80  1 1262593897
32 15  1 1262593920
15 32  1 1262593978
33 62  1 1262594030
33 62  1 1262594030
33 62  1 1262594032
33 62  1 1262594034
3 81  1 1262594087
3 50  1 1262594087
3 27  1 1262594087
50 47  1 1262594161
20 62  1 1262594305
20 62  1 1262594305
20 62  1 1262594307
20 62  1 1262594309
68 27  1 1262594343
47 50  1 1262594365
52 3  1 1262594372
27 3  1 1262594509
35 3  1 1262594515
80 38  1 1262594521
35 62  1 1262594524
38 80  1 1262594573
50 68  1 1262594661
8 3  1 1262594693
68 50  1 1262594730
8 62  1 1262594819
82 21  1 1262594839
29 22  1 1262594961
26 25  1 1262595017
17 3  1 1262595034
26 24  1 1262595045
13 3  1 1262595050
13 8  1 1262595050
13 35  1 1262595050
13 40  1 1262595050
13 4  1 1262595050
17 56  1 1262595219
17 15  1 1262595219
17 54  1 1262595219
73 5  1 1262595272
8 13  1 1262595278
14 77  1 1262595325
54 17  1 1262595372
56 17  1 1262595606
68 74  1 1262595683
35 13  1 1262595820
68 48  1 1262596020
68 3  1 1262596044
1 73  1 1262596231
68 74  1 1262596294
73 1  1 1262596310
11 83  1 1262596467
73 1  1 1262596476
84 85  1 1262596531
84 42  1 1262596566
53 3  1 1262596583
69 86  1 1262596627
86 69  1 1262596627
84 42  1 1262596651
33 62  1 1262596657
68 85  1 1262596760
84 42  1 1262596910
33 15  1 1262597008
33 61  1 1262597008
33 15  1 1262597382
61 33  1 1262597415
12 15  1 1262597494
42 62  1 1262597607
31 21  1 1262597928
24 62  1 1262598186
24 51  1 1262598186
24 3  1 1262598186
24 8  1 1262598186
1 73  1 1262598413
76 84  1 1262598755
51 24  1 1262598844
74 1  1 1262598938
1 74  1 1262598974
64 67  1 1262599224
76 50  1 1262599329
86 57  1 1262599668
3 24  1 1262599757
4 13  1 1262599850
50 76  1 1262599940
